Date,Website Traffic,Net Audience Growth,dayofweek,quarter,month,dayofmonth,weekofyear
2022-10-02,2709,215,6,4,10,2,39
2022-10-03,3513,301,0,4,10,3,40
2022-10-04,2430,155,1,4,10,4,40
2022-10-05,2004,49,2,4,10,5,40
2022-10-06,2082,195,3,4,10,6,40
2022-10-07,1884,115,4,4,10,7,40
2022-10-08,1638,80,5,4,10,8,40
2022-10-09,1563,66,6,4,10,9,40
2022-10-10,1731,59,0,4,10,10,41
2022-10-11,1464,45,1,4,10,11,41
2022-10-12,1761,152,2,4,10,12,41
2022-10-13,3273,165,3,4,10,13,41
2022-10-14,3231,92,4,4,10,14,41
2022-10-15,2229,52,5,4,10,15,41
2022-10-16,1749,30,6,4,10,16,41
2022-10-17,1698,47,0,4,10,17,42
2022-10-18,1713,44,1,4,10,18,42
2022-10-19,1404,30,2,4,10,19,42
2022-10-20,1350,20,3,4,10,20,42
2022-10-21,1242,40,4,4,10,21,42
2022-10-22,1311,28,5,4,10,22,42
2022-10-23,1269,27,6,4,10,23,42
2022-10-24,2094,67,0,4,10,24,43
2022-10-25,2358,60,1,4,10,25,43
2022-10-26,1773,36,2,4,10,26,43
2022-10-27,1434,37,3,4,10,27,43
2022-10-28,1257,5,4,4,10,28,43
2022-10-29,1149,54,5,4,10,29,43
2022-10-30,1194,33,6,4,10,30,43
2022-10-31,1071,15,0,4,10,31,44
2022-11-01,1068,6,1,4,11,1,44
2022-11-02,1242,28,2,4,11,2,44
2022-11-03,1218,2,3,4,11,3,44
2022-11-04,1071,14,4,4,11,4,44
2022-11-05,1794,16,5,4,11,5,44
2022-11-06,1989,8,6,4,11,6,44
2022-11-07,1671,-1,0,4,11,7,45
2022-11-08,1272,17,1,4,11,8,45
2022-11-09,1284,44,2,4,11,9,45
2022-11-10,1104,10,3,4,11,10,45
2022-11-11,1245,41,4,4,11,11,45
2022-11-12,1167,14,5,4,11,12,45
2022-11-13,1401,15,6,4,11,13,45
2022-11-14,1593,25,0,4,11,14,46
2022-11-15,1470,17,1,4,11,15,46
2022-11-16,1596,12,2,4,11,16,46
2022-11-17,1512,8,3,4,11,17,46
2022-11-18,1593,23,4,4,11,18,46
2022-11-19,1215,16,5,4,11,19,46
2022-11-20,1440,17,6,4,11,20,46
2022-11-21,1551,0,0,4,11,21,47
2022-11-22,1617,20,1,4,11,22,47
2022-11-23,1518,15,2,4,11,23,47
2022-11-24,1650,12,3,4,11,24,47
2022-11-25,1602,8,4,4,11,25,47
2022-11-26,1380,-1,5,4,11,26,47
2022-11-27,1542,4,6,4,11,27,47
2022-11-28,1413,4,0,4,11,28,48
2022-11-29,1491,12,1,4,11,29,48
2022-11-30,1527,16,2,4,11,30,48
2022-12-01,1494,12,3,4,12,1,48
2022-12-02,1929,8,4,4,12,2,48
2022-12-03,1764,3,5,4,12,3,48
2022-12-04,1593,21,6,4,12,4,48
2022-12-05,2151,7,0,4,12,5,49
2022-12-06,1869,8,1,4,12,6,49
2022-12-07,2070,9,2,4,12,7,49
2022-12-08,1557,50,3,4,12,8,49
2022-12-09,1374,28,4,4,12,9,49
2022-12-10,1398,23,5,4,12,10,49
2022-12-11,1623,22,6,4,12,11,49
2022-12-12,1506,37,0,4,12,12,50
2022-12-13,1716,31,1,4,12,13,50
2022-12-14,1383,17,2,4,12,14,50
2022-12-15,1353,9,3,4,12,15,50
2022-12-16,1236,12,4,4,12,16,50
2022-12-17,1083,71,5,4,12,17,50
2022-12-18,906,5,6,4,12,18,50
2022-12-19,1098,6,0,4,12,19,51
2022-12-20,1230,39,1,4,12,20,51
2022-12-21,1287,30,2,4,12,21,51
2022-12-22,1512,37,3,4,12,22,51
2022-12-23,1263,26,4,4,12,23,51
2022-12-24,915,18,5,4,12,24,51
2022-12-25,903,14,6,4,12,25,51
2022-12-26,900,14,0,4,12,26,52
2022-12-27,1053,11,1,4,12,27,52
2022-12-28,999,15,2,4,12,28,52
2022-12-29,1218,24,3,4,12,29,52
2022-12-30,1119,59,4,4,12,30,52
2022-12-31,2895,103,5,4,12,31,52
2023-01-01,1332,30,6,1,1,1,52
2023-01-02,1704,58,0,1,1,2,1
2023-01-03,1422,42,1,1,1,3,1
2023-01-04,1368,43,2,1,1,4,1
2023-01-05,1653,36,3,1,1,5,1
2023-01-06,1299,42,4,1,1,6,1
2023-01-07,1239,43,5,1,1,7,1
2023-01-08,2256,26,6,1,1,8,1
2023-01-09,1485,27,0,1,1,9,2
2023-01-10,1716,43,1,1,1,10,2
2023-01-11,1764,33,2,1,1,11,2
2023-01-12,2013,36,3,1,1,12,2
2023-01-13,2061,36,4,1,1,13,2
2023-01-14,1734,34,5,1,1,14,2
2023-01-15,2199,34,6,1,1,15,2
2023-01-16,1971,49,0,1,1,16,3
2023-01-17,1740,72,1,1,1,17,3
2023-01-18,1410,38,2,1,1,18,3
2023-01-19,1521,44,3,1,1,19,3
2023-01-20,1224,30,4,1,1,20,3
2023-01-21,1173,20,5,1,1,21,3
2023-01-22,1518,39,6,1,1,22,3
2023-01-23,1209,26,0,1,1,23,4
2023-01-24,1365,16,1,1,1,24,4
2023-01-25,1047,22,2,1,1,25,4
2023-01-26,1275,13,3,1,1,26,4
2023-01-27,1089,5,4,1,1,27,4
2023-01-28,819,9,5,1,1,28,4
2023-01-29,870,6,6,1,1,29,4
2023-01-30,981,16,0,1,1,30,5
2023-01-31,1002,14,1,1,1,31,5
2023-02-01,1023,12,2,1,2,1,5
2023-02-02,870,1,3,1,2,2,5
2023-02-03,921,27,4,1,2,3,5
2023-02-04,2316,23,5,1,2,4,5
2023-02-05,1647,22,6,1,2,5,5
2023-02-06,1440,5,0,1,2,6,6
2023-02-07,1299,16,1,1,2,7,6
2023-02-08,1215,19,2,1,2,8,6
2023-02-09,1221,27,3,1,2,9,6
2023-02-10,1119,31,4,1,2,10,6
2023-02-11,1086,35,5,1,2,11,6
2023-02-12,1131,28,6,1,2,12,6
2023-02-13,1113,23,0,1,2,13,7
2023-02-14,1113,14,1,1,2,14,7
2023-02-15,936,9,2,1,2,15,7
2023-02-16,969,20,3,1,2,16,7
2023-02-17,1140,11,4,1,2,17,7
2023-02-18,1299,14,5,1,2,18,7
2023-02-19,1569,26,6,1,2,19,7
2023-02-20,1905,45,0,1,2,20,8
2023-02-21,1947,22,1,1,2,21,8
2023-02-22,2130,36,2,1,2,22,8
2023-02-23,2184,33,3,1,2,23,8
2023-02-24,2232,42,4,1,2,24,8
2023-02-25,2178,41,5,1,2,25,8
2023-02-26,2244,24,6,1,2,26,8
2023-02-27,2706,40,0,1,2,27,9
2023-02-28,2355,24,1,1,2,28,9
2023-03-01,2130,18,2,1,3,1,9
2023-03-02,1875,38,3,1,3,2,9
2023-03-03,1944,21,4,1,3,3,9
2023-03-04,1422,21,5,1,3,4,9
2023-03-05,1503,19,6,1,3,5,9
2023-03-06,1329,13,0,1,3,6,10
2023-03-07,1629,35,1,1,3,7,10
2023-03-08,1581,32,2,1,3,8,10
2023-03-09,1695,34,3,1,3,9,10
2023-03-10,1458,32,4,1,3,10,10
2023-03-11,1305,31,5,1,3,11,10
